chrXVI:377995-378389	RPS6A
chrIII:177906-178213	RPS14A
chrIV:117666-118157	RPL35A
chrVII:787786-788178	RPL24B
chrII:606280-606668	RPL21A
chrXV:678379-678790	RPS30B
chrXI:432034-432432	RPL14A
chrVIII:104405-104803	RPL14B
chrXIII:23360-23658	TUB3
chrXV:80360-80774	RPL25
chrVII:311015-311526	RPL28
chrXIII:225891-226289	RPS17A
chrII:407027-407122	UBC4
chrX:435227-435343	PRE3
chrII:426516-426873	YBR090C
chrXVI:75985-76223	RPL36B
chrIV:322282-322703	RPL31A
chrXIII:123742-124157	RPL6A
chrIV:340810-341219	RPS29B
chrXVI:281373-281503	SNR17B
chrII:45644-45977	RPL32
chrXI:109577-109883	RPL17A
chrVII:534473-534785	RPS25A
chrIX:316771-317171	RPL2B
chrVII:439093-439323	RPL30
chrVI:54377-54686	ACT1
chrII:393180-393510	ECM33
chrXV:505937-506338	RPS7A
chrVII:365526-365985	RPL7A
chrX:75938-76324	RPL39
chrXII:522669-523028	RPL37A
chrXVI:282140-282665	RPL33A
chrXVI:654167-654570	RPL43A
chrIV:491559-491898	RPS11A
chrX:156789-157249	RPS21B
chrVII:859260-859473	QCR9
chrXIV:443826-444171	RPS7B
chrXII:242321-242680	RPS0B
chrXII:712725-713155	RPS30A
chrXII:898157-898645	RPS29A
chrVII:249886-250086	SEC27
chrXIV:494524-494973	RPL16B
chrIV:579478-580017	RPS13
chrIV:230019-230320	RPP1B
chrVIII:148116-148666	RPS27B
chrXIII:223380-223781	RPS18B
chrXI:430455-430596	SFT1
chrVII:437941-438397	RPL24A
chrX:702798-703054	RPS4A
chrXV:552665-552874	PFY1
chrIX:99095-99385	RPL16A
chrXV:867149-867586	RPS10A
chrXI:618374-618742	RPL40B
chrXVI:795029-795394	RPS23B
chrV:269751-270148	RPL34A
chrIX:231957-232366	RPS24B
chrXIII:236591-236953	PSP2
chrXII:40221-40400	COF1
chrVIII:187514-187676	VMA10
chrIV:629905-630173	UBC13
chrXIII:99259-99375	TUB1
chrIII:173115-173198	RIM1
chrV:148194-148282	GIM4
chrVIII:255637-255750	NMD2
chrIV:431386-431472	YDL012C
chrIV:715247-715358	SAC6
chrXVI:678193-678279	YPR063C
chrV:307746-307848	YOS1
chrIV:733702-733775	RUB1
chrIV:399361-399484	ARP2
chrIV:239398-239509	HNT1
chrXVI:623577-623710	YOP1
chrXIII:424997-425153	SEC14
chrXIV:545291-545370	YIP3
chrII:142749-142846	ERD2
chrIII:294239-294291	HMRA1
chrVIII:498719-498786	NBL1
chrII:679942-680039	OM14
chrXIV:350957-351053	LSM7
chrIII:111557-111633	YCL002C
chrVI:221267-221414	RPL2A
chrXVI:305306-305411	TAF14
chrII:443705-443833	FES1
chrVII:253185-253248	MRM2
chrXIV:557610-557684	GPI15
chrI:87387-87500	SNC1
chrIV:1266769-1266861	NCB2
chrXVI:883387-883486	YPR170W-B
chrVI:63859-63973	MOB2
chrXV:778859-779386	RPL33B
chrIV:307333-307765	RPS16B
chrVII:148598-148966	RPS26A
chrIX:256554-257026	RPL34B
chrVI:223440-223771	RPL29
chrII:414753-415259	RPL19A
chrXIV:331325-331837	RPL42A
chrXIII:550801-551203	RPL13B
chrXV:780120-780277	SNR17A
chrVII:727038-727357	RPS23A
chrXI:158615-158966	RPS27A
chrV:432671-433196	GLC7
chrXV:93843-94290	RPL18A
chrV:396810-397281	RPL23B
chrX:73796-74204	RPS14B
chrXIV:501156-501502	SUN4
chrXVI:404956-405457	RPS9A
chrII:604514-604927	RPS9B
chrIV:1359969-1360404	RPS18A
chrXII:795912-796335	RPS25B
chrVI:64599-64920	RPL22B
chrVIII:126551-127112	RPL27A
chrXII:263205-263594	RPL22A
chrIX:68715-69149	RPL40A
chrIV:308427-308792	RPL13A
chrII:89132-89440	RPS8A
chrVII:920664-921119	RPS0A
chrIV:1355236-1355550	RPS17B
chrXIII:732465-732875	RPS10B
chrV:362732-363092	RPS8B
chrIX:127661-128148	SIM1
chrXV:900767-901193	RPL20B
chrV:306325-306791	RPS24A
chrVIII:505247-505516	RPS4B
chrXV:92440-92830	RPS19A
chrVII:555830-556307	RPL26B
chrII:168424-168808	RPL19B
chrX:608306-608581	RPL43B
chrV:423590-423951	RPS26B
chrIV:216157-216489	ARF2
chrII:592416-592768	RPS6B
chrXII:1028868-1029252	RPL6B
chrIV:1401800-1402184	RPL27B
chrXIII:517563-517885	STO1
chrII:60193-60697	RPL23A
chrIV:652780-653523	BMH2
chrIV:1236842-1237608	YRA1
chrXVI:406646-407067	RPL21B
chrXIV:62372-62923	RPS19B
chrII:332875-333386	RPS11B
chrXIII:551951-552495	RPS16A
chrXIII:651160-651623	RPL36A
chrVIII:382306-382747	RPL42B
chrXIII:753742-754219	RPL20A
chrXI:551680-552002	RPS21A
chrXIV:64018-64450	RPL18B
chrX:91094-91411	RPL17B
chrXII:931349-931698	RPL31B
chrIV:217602-218007	RPL35B
chrXII:819330-819777	RPL26A
chrV:158994-159087	PMI40
chrXVI:138725-138864	SAR1
chrXVI:911276-911352	RPO26
chrV:307956-308067	YOS1
chrXIII:854816-854898	GOT1
